             0	Dragalge
            44	Snorunt
           265	Fraxure
           586	Pichu
        420472	Gastrodon
            21	Swablu
        958363	Ninetales
        113439	Milotic
           767	Lileep
          3140	Purrloin
             0	Arceus
           148	Ralts
            14	Golett
          9339	Cacturne
          1459	Corsola
           152	Igglybuff
       1382380	Tyranitar
            38	Bonsly
       1110860	Keldeo
          6966	Skuntank
            39	Foongus
            32	Sewaddle
           167	Togepi
         22638	Tauros
            50	Baltoy
          1659	Lickitung
            16	Finneon
         44923	Victreebel
            93	NidoranF
             0	Noibat
           752	Machoke
          5850	Banette
           685	Drilbur
         56174	Quagsire
          1980	Masquerain
          9670	Linoone
             0	Aurorus
             0	Kyurem-W
          2030	Garbodor
            65	Shellos
            30	Makuhita
           191	Yamask
             0	Binacle
        739598	Tentacruel
            37	Grimer
             0	Skiddo
          1288	Kadabra
             0	Sligoo
        993018	Skarmory
             0	Chespin
          2582	Cottonee
           248	Sandshrew
            33	Corphish
           111	Happiny
         14368	Articuno
          3388	Throh
            52	Pansear
          7291	Rhydon
         83878	Porygon-Z
         22761	Omastar
             0	Goodra
           374	Gastly
             0	Froakie
          4112	Wailord
          7946	Spinda
          4457	Magnemite
         36472	Aron
         38081	Houndoom
             0	Bergmite
            38	Chingling
           615	Taillow
          9604	Bastiodon
          3657	Raticate
          1102	Bulbasaur
        227297	Chandelure
          7797	Emolga
          2066	Vespiquen
         42364	Durant
        207837	Mew
          1102	Maractus
          7994	Swoobat
           540	Metapod
         25685	Marowak
         58435	Feraligatr
         98092	Ambipom
            21	Rhyhorn
       1064080	Alakazam
           326	Hoppip
          6323	Gligar
             0	Zygarde
           201	Dratini
           621	Metang
         71134	Lilligant
       1169940	Landorus-Therian
        196385	Abomasnow 
            29	Rufflet
           214	Voltorb
          6687	Leavanny
        610704	Toxicroak
         64796	Rhyperior
          2678	Exploud
             0	Scatterbug
        129456	Stoutland
         66546	Suicune
            11	Kricketot
        149200	Slowbro
        157648	Smeargle
            49	Anorith
         12164	Murkrow
           316	Marill
           232	Totodile
           172	Marshtomp
         13799	Ursaring
         16886	Mandibuzz
          1365	Munchlax
             0	Greninja
         47550	Dusknoir
            62	Exeggcute
          8874	Meganium
        562832	Kyurem-Black
           624	Carnivine
           598	Mothim
        870726	Espeon
            30	Gulpin
